modelname	temp	Top answer	2nd answer	3rd answer
claude-3-5-haiku-20241022	1.0	25 (63.0%)	27 (37.0%)	
claude-3-5-sonnet-20240620	1.0	27 (100.0%)		
claude-3-5-sonnet-20241022	1.0	27 (100.0%)		
claude-3-7-sonnet-20250219	1.0	27 (59.0%)	25 (20.0%)	17 (9.0%)
claude-opus-4-20250514	1.0	23 (70.0%)	27 (18.0%)	37 (11.0%)
claude-sonnet-4-20250514	1.0	27 (100.0%)		
deepseek-ai_deepseek-r1	1.0	37 (51.0%)	25 (26.0%)	17 (9.0%)
deepseek-ai_deepseek-v3	1.0	25 (35.0%)	23 (22.0%)	37 (13.0%)
gemini-2.0-flash-001	1.0	25 (100.0%)		
gemini-2.0-flash-lite-001	1.0	25 (100.0%)		
gemini-2.5-pro-preview-03-25	1.0	25 (48.0%)	27 (30.0%)	23 (8.0%)
gemini-2.5-pro-preview-05-06	1.0	25 (35.0%)	27 (31.0%)	23 (20.0%)
gemini-2.5-pro-preview-06-05	1.0	27 (44.0%)	37 (35.0%)	25 (7.0%)
google-deepmind_gemma-3-12b-it	1.0	25 (50.0%)	37 (38.0%)	30 (12.0%)
google-deepmind_gemma-3-27b-it	1.0	25 (100.0%)		
google-deepmind_gemma-3-4b-it	1.0	25 (100.0%)		
gpt-4.1-2025-04-14	1.0	27 (96.0%)	17 (1.0%)	23 (1.0%)
gpt-4.1-mini-2025-04-14	1.0	27 (99.0%)	23 (1.0%)	
gpt-4.1-nano-2025-04-14	1.0	25 (89.0%)	27 (9.0%)	23 (1.0%)
gpt-4o-2024-05-13	1.0	27 (42.0%)	25 (28.0%)	37 (9.0%)
gpt-4o-2024-08-06	1.0	27 (77.0%)	25 (6.0%)	37 (4.0%)
gpt-4o-2024-11-20	1.0	27 (46.0%)	25 (45.0%)	37 (6.0%)
grok-2-1212	1.0	23 (100.0%)		
grok-3-beta	1.0	27 (99.0%)	25 (1.0%)	
meta_llama-4-maverick-instruct	1.0	1 (65.0%)	25 (35.0%)	
meta_llama-4-scout-instruct	1.0	25 (100.0%)		
mistral-large-2411	1.0	25 (63.0%)	27 (30.0%)	23 (2.0%)
mistral-medium-2505	1.0	37 (54.0%)	23 (44.0%)	27 (2.0%)
mistral-small-2503	1.0	23 (74.0%)	25 (18.0%)	27 (8.0%)
o1-2024-12-17	1.0	42 (42.0%)	37 (35.0%)	27 (8.0%)
o3-2025-04-16	1.0	37 (66.0%)	27 (15.0%)	17 (11.0%)
